iter	Passed	Remaining
0	1	123
1	2	108
2	3	99
3	3	90
4	4	91
5	5	88
6	6	87
7	7	87
8	8	85
9	9	84
10	10	82
11	11	81
12	12	81
13	13	79
14	13	78
15	14	77
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	20	70
23	21	69
24	22	67
25	23	66
26	24	66
27	25	65
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	46	44
51	47	43
52	48	42
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	37
60	56	36
61	57	35
62	59	34
63	60	33
64	61	32
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	78	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	94	2
97	95	1
98	95	0
99	96	0
