iter	Passed	Remaining
0	2	2540
1	3	1955
2	5	1718
3	6	1587
4	8	1680
5	10	1664
6	11	1668
7	13	1634
8	14	1623
9	16	1638
10	18	1621
11	19	1602
12	20	1576
13	22	1576
14	24	1576
15	25	1564
16	26	1548
17	28	1549
18	29	1548
19	31	1549
20	33	1539
21	34	1525
22	35	1512
23	37	1509
24	38	1512
25	40	1504
26	42	1531
27	44	1531
28	45	1531
29	47	1526
30	48	1516
31	49	1504
32	51	1498
33	53	1507
34	54	1503
35	56	1503
36	57	1499
37	59	1500
38	64	1582
39	65	1582
40	67	1582
41	68	1571
42	70	1577
43	72	1572
44	74	1570
45	75	1570
46	77	1566
47	78	1555
48	79	1545
49	80	1533
50	82	1528
51	83	1519
52	84	1514
53	86	1509
54	87	1498
55	88	1489
56	90	1491
57	91	1488
58	93	1483
59	94	1477
60	95	1466
61	96	1459
62	98	1461
63	99	1460
64	101	1453
65	102	1448
66	103	1441
67	105	1440
68	107	1445
69	108	1440
70	109	1435
71	111	1431
72	112	1430
73	113	1426
74	115	1420
75	116	1413
76	117	1405
77	118	1398
78	119	1396
79	121	1394
80	122	1388
81	123	1381
82	124	1374
83	125	1370
84	127	1369
85	128	1368
86	129	1363
87	130	1356
88	131	1350
89	132	1344
90	134	1344
91	135	1341
92	137	1336
93	138	1334
94	139	1331
95	141	1328
96	142	1325
97	143	1323
98	144	1319
99	146	1314
100	147	1311
101	148	1309
102	150	1308
103	151	1306
104	153	1304
105	154	1299
106	155	1297
107	157	1297
108	158	1295
109	159	1290
110	160	1286
111	161	1281
112	162	1277
113	164	1275
114	165	1275
115	167	1273
116	168	1268
117	169	1265
118	170	1261
119	171	1259
120	173	1258
121	174	1253
122	175	1250
123	176	1246
124	177	1242
125	179	1245
126	180	1242
127	181	1238
128	182	1234
129	183	1230
130	185	1227
131	186	1228
132	188	1226
133	189	1222
134	190	1219
135	191	1216
136	192	1213
137	194	1215
138	196	1214
139	197	1212
140	199	1213
141	200	1212
142	202	1214
143	204	1213
144	205	1211
145	206	1210
146	208	1209
147	210	1208
148	211	1208
149	212	1206
150	214	1204
151	215	1202
152	216	1200
153	218	1199
154	219	1196
155	220	1193
156	221	1190
157	222	1188
158	224	1186
159	225	1184
160	226	1179
161	227	1175
162	228	1173
163	230	1173
164	231	1171
165	233	1172
166	234	1171
167	236	1170
168	238	1174
169	240	1174
170	241	1171
171	243	1169
172	244	1168
173	245	1167
174	247	1168
175	249	1167
176	250	1166
177	252	1165
178	253	1163
179	255	1163
180	257	1163
181	258	1162
182	261	1165
183	263	1167
184	264	1166
185	265	1163
186	267	1165
187	269	1165
188	271	1165
189	273	1167
190	275	1167
191	277	1166
192	278	1164
193	279	1162
194	282	1164
195	284	1166
196	285	1165
197	287	1164
198	288	1163
199	291	1165
200	293	1165
201	294	1163
202	297	1166
203	300	1170
204	301	1170
205	302	1167
206	306	1175
207	309	1177
208	310	1176
209	313	1178
210	315	1180
211	317	1178
212	319	1181
213	321	1180
214	323	1179
215	325	1180
216	327	1181
217	329	1181
218	331	1181
219	334	1186
220	337	1191
221	339	1191
222	344	1200
223	346	1199
224	348	1201
225	351	1205
226	353	1205
227	359	1215
228	362	1219
229	365	1224
230	367	1224
231	370	1226
232	375	1235
233	377	1235
234	381	1243
235	383	1242
236	385	1241
237	387	1241
238	390	1243
239	395	1251
240	397	1251
241	399	1250
242	402	1253
243	405	1255
244	406	1253
245	408	1252
246	412	1257
247	414	1257
248	416	1257
249	419	1259
250	421	1258
251	423	1256
252	429	1266
253	432	1269
254	434	1269
255	436	1268
256	438	1267
257	440	1267
258	442	1265
259	444	1265
260	448	1269
261	449	1267
262	451	1265
263	454	1267
264	456	1267
265	459	1266
266	460	1264
267	462	1264
268	464	1263
269	466	1261
270	468	1259
271	470	1260
272	472	1258
273	474	1257
274	476	1256
275	479	1256
276	481	1255
277	482	1253
278	484	1253
279	486	1252
280	488	1250
281	493	1256
282	495	1255
283	496	1252
284	501	1257
285	503	1257
286	505	1255
287	508	1257
288	510	1256
289	512	1255
290	516	1259
